IDENTIFICACION,NUMERO_REGISTRO_MEDICO,ESPECIALIDAD
850000,900000,Odontologo
850001,900001,Ortopedista
850002,900002,Odontologo
850003,900003,Ginecologo
850004,900004,Neurologo
850005,900005,Traumatologo
850006,900006,Dermatologo
850007,900007,Pediatra
850008,900008,Cardiologo
850009,900009,Interno
850010,900010,Ginecologo
850011,900011,Ginecologo
850012,900012,Traumatologo
850013,900013,Pediatra
850014,900014,Traumatologo
850015,900015,Pediatra
850016,900016,Cardiologo
850017,900017,Ortopedista
850018,900018,Cardiologo
850019,900019,Cardiologo
850020,900020,Pediatra
850021,900021,Odontologo
850022,900022,Pediatra
850023,900023,Ginecologo
850024,900024,Traumatologo
850025,900025,Neurologo
850026,900026,Traumatologo
850027,900027,Interno
850028,900028,Traumatologo
850029,900029,Pediatra
850030,900030,Dermatologo
850031,900031,Ginecologo
850032,900032,Interno
850033,900033,Dermatologo
850034,900034,Pediatra
850035,900035,Pediatra
850036,900036,Ginecologo
850037,900037,Ortopedista
850038,900038,General
850039,900039,Pediatra
850040,900040,Ginecologo
850041,900041,Ginecologo
850042,900042,Traumatologo
850043,900043,Interno
850044,900044,Odontologo
850045,900045,Ginecologo
850046,900046,Ortopedista
850047,900047,Dermatologo
850048,900048,General
850049,900049,Interno
850050,900050,Dermatologo
850051,900051,Ginecologo
850052,900052,Pediatra
850053,900053,General
850054,900054,Pediatra
850055,900055,General
850056,900056,Odontologo
850057,900057,Dermatologo
850058,900058,Optometra
850059,900059,Interno
850060,900060,Interno
850061,900061,Odontologo
850062,900062,Interno
850063,900063,General
850064,900064,Odontologo
850065,900065,Traumatologo
850066,900066,Dermatologo
850067,900067,Interno
850068,900068,Ortopedista
850069,900069,Ortopedista
850070,900070,Cardiologo
850071,900071,Pediatra
850072,900072,Neurologo
850073,900073,Interno
850074,900074,Neurologo
850075,900075,Cardiologo
850076,900076,Pediatra
850077,900077,Dermatologo
850078,900078,General
850079,900079,Ginecologo
850080,900080,Odontologo
850081,900081,Traumatologo
850082,900082,General
850083,900083,Ginecologo
850084,900084,Interno
850085,900085,Pediatra
850086,900086,Traumatologo
850087,900087,Pediatra
850088,900088,Neurologo
850089,900089,Pediatra
850090,900090,General
850091,900091,Odontologo
850092,900092,Optometra
850093,900093,Cardiologo
850094,900094,Traumatologo
850095,900095,Cardiologo
850096,900096,Neurologo
850097,900097,Pediatra
850098,900098,Optometra
850099,900099,Ginecologo
850100,900100,Optometra
850101,900101,Interno
850102,900102,Odontologo
850103,900103,General
850104,900104,Interno
850105,900105,Pediatra
850106,900106,Neurologo
850107,900107,Traumatologo
850108,900108,Interno
850109,900109,Dermatologo
850110,900110,Interno
850111,900111,Pediatra
850112,900112,Cardiologo
850113,900113,Ortopedista
850114,900114,Dermatologo
850115,900115,Ortopedista
850116,900116,Optometra
850117,900117,Dermatologo
850118,900118,Odontologo
850119,900119,Odontologo
850120,900120,General
850121,900121,Odontologo
850122,900122,Ortopedista
850123,900123,Ortopedista
850124,900124,Ginecologo
850125,900125,Ortopedista
850126,900126,Dermatologo
850127,900127,Ginecologo
850128,900128,Pediatra
850129,900129,Interno
850130,900130,General
850131,900131,Dermatologo
850132,900132,Odontologo
850133,900133,Interno
850134,900134,Optometra
850135,900135,Pediatra
850136,900136,Interno
